,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
17915,HU,2020,Abamectin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
17916,HU,2020,Acephate,13,13.0,0.01,0.0,0.0,0.0,0.0
17917,HU,2020,Acetochlor,13,13.0,0.01,0.0,0.0,0.0,0.0
17918,HU,2020,Aclonifen,13,13.0,0.01,0.0,0.0,0.0,0.0
17919,HU,2020,Alachlor,13,13.0,0.01,0.0,0.0,0.0,0.0
17920,HU,2020,Aldicarb (sum),13,13.0,0.0092,0.0075,0.0,0.0,0.0
17921,HU,2020,Ametoctradin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
17922,HU,2020,Ametryn,13,13.0,0.01,0.0,0.0,0.0,0.0
17923,HU,2020,Amitraz (sum),13,13.0,0.0042,0.0036,0.0,0.0,0.0
17924,HU,2020,Atrazine,13,13.0,0.01,0.0,0.0,0.0,0.0
17925,HU,2020,"Atrazine, Desisopropyl-",13,13.0,0.01,0.0,0.0,0.0,0.0
17927,HU,2020,Azinphos-ethyl,13,0.0,0.0,0.0,13.0,0.01,0.0
17928,HU,2020,Azinphos-methyl,13,0.0,0.0,0.0,13.0,0.01,0.0
17929,HU,2020,Aziprotryne,13,13.0,0.01,0.0,0.0,0.0,0.0
17930,HU,2020,Azoxystrobin,13,13.0,0.01,0.0,0.0,0.0,0.0
17931,HU,2020,Benalaxyl (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
