,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
16534,HU,2020,Acephate,13,13.0,0.01,0.0,0.0,0.0,0.0
16535,HU,2020,Acetochlor,13,13.0,0.01,0.0,0.0,0.0,0.0
16536,HU,2020,Aclonifen,13,13.0,0.01,0.0,0.0,0.0,0.0
16537,HU,2020,Alachlor,13,13.0,0.01,0.0,0.0,0.0,0.0
16538,HU,2020,Aldicarb (sum),13,13.0,0.0092,0.0075,0.0,0.0,0.0
16539,HU,2020,Ametoctradin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16540,HU,2020,Ametryn,13,13.0,0.01,0.0,0.0,0.0,0.0
16541,HU,2020,Amitraz (sum),13,13.0,0.0042,0.0036,0.0,0.0,0.0
16542,HU,2020,Atrazine,13,13.0,0.01,0.0,0.0,0.0,0.0
16543,HU,2020,"Atrazine, Desisopropyl-",13,13.0,0.01,0.0,0.0,0.0,0.0
16545,HU,2020,Azinphos-ethyl,13,0.0,0.0,0.0,13.0,0.01,0.0
16546,HU,2020,Azinphos-methyl,13,0.0,0.0,0.0,13.0,0.01,0.0
16547,HU,2020,Aziprotryne,13,13.0,0.01,0.0,0.0,0.0,0.0
16548,HU,2020,Azoxystrobin,13,13.0,0.01,0.0,0.0,0.0,0.0
16549,HU,2020,Benalaxyl (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16550,HU,2020,Benzovindiflupyr,13,13.0,0.01,0.0,0.0,0.0,0.0
16551,HU,2020,Bifenox,13,13.0,0.01,0.0,0.0,0.0,0.0
16552,HU,2020,Bifenthrin (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
16553,HU,2020,Bioresmethrin,13,13.0,0.01,0.0,0.0,0.0,0.0
16554,HU,2020,Biphenyl,13,13.0,0.01,0.0,0.0,0.0,0.0
16555,HU,2020,Bitertanol (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16556,HU,2020,Bixafen (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16557,HU,2020,Boscalid (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
16558,HU,2020,Bromfenvinfos,13,13.0,0.01,0.0,0.0,0.0,0.0
16559,HU,2020,Bromophos,13,13.0,0.01,0.0,0.0,0.0,0.0
16560,HU,2020,Bromophos-ethyl,13,13.0,0.01,0.0,0.0,0.0,0.0
16561,HU,2020,Bromopropylate,13,13.0,0.01,0.0,0.0,0.0,0.0
16562,HU,2020,Bromuconazole (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16563,HU,2020,Bupirimate,13,13.0,0.01,0.0,0.0,0.0,0.0
16564,HU,2020,Buprofezin,13,13.0,0.01,0.0,0.0,0.0,0.0
16565,HU,2020,Butylate,13,13.0,0.01,0.0,0.0,0.0,0.0
16566,HU,2020,Cadusafos,13,13.0,0.01,0.0,0.0,0.0,0.0
16567,HU,2020,Carbaryl,13,13.0,0.01,0.0,0.0,0.0,0.0
16568,HU,2020,Carbendazim and benomyl (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16569,HU,2020,Carbendazim and thiophanate-methyl (sum),13,13.0,0.016,0.0,0.0,0.0,0.0
16570,HU,2020,Carbofuran (sum),13,13.0,0.001,0.0,0.0,0.0,0.0
16571,HU,2020,Carboxin,13,13.0,0.01,0.0,0.0,0.0,0.0
16572,HU,2020,Chlorantraniliprole,13,13.0,0.01,0.0,0.0,0.0,0.0
16573,HU,2020,Chlorbromuron,13,13.0,0.01,0.0,0.0,0.0,0.0
16574,HU,2020,Chlorfenvinphos,13,13.0,0.01,0.0,0.0,0.0,0.0
16575,HU,2020,Chlorfluazuron,13,13.0,0.01,0.0,0.0,0.0,0.0
16576,HU,2020,Chlorobenzilate,13,0.0,0.0,0.0,13.0,0.01,0.0
16577,HU,2020,Chlorothalonil (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16578,HU,2020,Chlorotoluron (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16579,HU,2020,Chlorpyrifos,13,0.0,0.0,0.0,13.0,0.005,0.0
16580,HU,2020,Chlorpyrifos-methyl,13,0.0,0.0,0.0,13.0,0.005,0.0
16581,HU,2020,Cinidon-ethyl (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16582,HU,2020,Clofentezine (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16583,HU,2020,Clomazone (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16584,HU,2020,Coumaphos,13,13.0,0.01,0.0,0.0,0.0,0.0
16585,HU,2020,Cyanazine,13,13.0,0.01,0.0,0.0,0.0,0.0
16586,HU,2020,Cyazofamid,13,13.0,0.01,0.0,0.0,0.0,0.0
16587,HU,2020,Cycloate,13,13.0,0.01,0.0,0.0,0.0,0.0
16588,HU,2020,Cycloxydim (sum),13,13.0,0.022,0.0122,0.0,0.0,0.0
16589,HU,2020,Cyfluthrin (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
16590,HU,2020,Cymoxanil,13,13.0,0.01,0.0,0.0,0.0,0.0
16591,HU,2020,Cypermethrin (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
16592,HU,2020,Cyproconazole (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16593,HU,2020,Cyprodinil (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16594,HU,2020,DDT (sum),13,0.0,0.0,0.0,13.0,0.0102,0.0082
16595,HU,2020,Deltamethrin,13,0.0,0.0,0.0,13.0,0.02,0.0
16596,HU,2020,Desmedipham,13,13.0,0.01,0.0,0.0,0.0,0.0
16597,HU,2020,Diazinon,13,0.0,0.0,0.0,13.0,0.01,0.0
16598,HU,2020,Dichlofluanid and DMSA (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16599,HU,2020,Dichlorvos,13,13.0,0.01,0.0,0.0,0.0,0.0
16600,HU,2020,Diclobutrazol,13,13.0,0.01,0.0,0.0,0.0,0.0
16601,HU,2020,Dicloran,13,13.0,0.01,0.0,0.0,0.0,0.0
16602,HU,2020,Dicofol (sum),13,13.0,0.0133,0.0048,0.0,0.0,0.0
16603,HU,2020,Dieldrin (sum),13,0.0,0.0,0.0,13.0,0.0027,0.001
16604,HU,2020,Diethofencarb,13,13.0,0.01,0.0,0.0,0.0,0.0
16605,HU,2020,Difenoconazole,13,13.0,0.005,0.0,0.0,0.0,0.0
16606,HU,2020,Diflubenzuron (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16607,HU,2020,Diflufenican,13,13.0,0.01,0.0,0.0,0.0,0.0
16608,HU,2020,Dimethachlor,13,13.0,0.01,0.0,0.0,0.0,0.0
16609,HU,2020,Dimethenamid (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16611,HU,2020,Dimethomorph (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16612,HU,2020,Dimoxystrobin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16613,HU,2020,Diniconazole (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16614,HU,2020,Diphenylamine,13,0.0,0.0,0.0,13.0,0.01,0.0
16615,HU,2020,Disulfoton (sum),13,13.0,0.0045,0.0026,0.0,0.0,0.0
16616,HU,2020,Ditalimfos,13,13.0,0.01,0.0,0.0,0.0,0.0
16617,HU,2020,Diuron,13,13.0,0.01,0.0,0.0,0.0,0.0
16618,HU,2020,Dodine,13,13.0,0.01,0.0,0.0,0.0,0.0
16619,HU,2020,EPN,13,13.0,0.0094,0.0022,0.0,0.0,0.0
16620,HU,2020,Emamectin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16621,HU,2020,Endosulfan (sum),13,0.0,0.0,0.0,13.0,0.0075,0.0044
16622,HU,2020,Endrin,13,4.0,0.005,0.0,9.0,0.0008,0.0
16623,HU,2020,Endrin ketone,13,13.0,0.005,0.0,0.0,0.0,0.0
16624,HU,2020,Epoxiconazole,13,13.0,0.002,0.0,0.0,0.0,0.0
16625,HU,2020,Ethiofencarb,13,13.0,0.01,0.0,0.0,0.0,0.0
16626,HU,2020,Ethiofencarb-Sulfon,13,13.0,0.01,0.0,0.0,0.0,0.0
16627,HU,2020,Ethiofencarb-Sulfoxid,13,13.0,0.01,0.0,0.0,0.0,0.0
16628,HU,2020,Ethion,13,13.0,0.01,0.0,0.0,0.0,0.0
16629,HU,2020,Ethirimol,13,13.0,0.01,0.0,0.0,0.0,0.0
16630,HU,2020,Ethoprophos,13,13.0,0.01,0.0,0.0,0.0,0.0
16631,HU,2020,Etofenprox,13,0.0,0.0,0.0,13.0,0.01,0.0
16632,HU,2020,Etoxazole,13,13.0,0.01,0.0,0.0,0.0,0.0
16633,HU,2020,Etrimfos,13,13.0,0.01,0.0,0.0,0.0,0.0
16634,HU,2020,Famoxadone,13,0.0,0.0,0.0,13.0,0.01,0.0
16635,HU,2020,Fenamidone,13,13.0,0.01,0.0,0.0,0.0,0.0
16636,HU,2020,Fenarimol,13,13.0,0.01,0.0,0.0,0.0,0.0
16637,HU,2020,Fenazaquin,13,13.0,0.01,0.0,0.0,0.0,0.0
16638,HU,2020,Fenbuconazole (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16639,HU,2020,Fenhexamid,13,13.0,0.01,0.0,0.0,0.0,0.0
16640,HU,2020,Fenitrothion,13,13.0,0.01,0.0,0.0,0.0,0.0
16641,HU,2020,Fenoxycarb,13,13.0,0.01,0.0,0.0,0.0,0.0
16642,HU,2020,Fenpropathrin,13,13.0,0.01,0.0,0.0,0.0,0.0
16643,HU,2020,Fenpropimorph (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
16644,HU,2020,Fenpyrazamine,13,13.0,0.01,0.0,0.0,0.0,0.0
16645,HU,2020,Fenpyroximate,13,13.0,0.01,0.0,0.0,0.0,0.0
16646,HU,2020,Fenthion (sum),13,13.0,0.002,0.0,13.0,0.0027,0.0029
16647,HU,2020,Fenvalerate/Esfenvalerate (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
16648,HU,2020,Fipronil (sum),13,1.0,0.01,0.0,13.0,0.003,0.0012
16649,HU,2020,Fluazinam,13,13.0,0.01,0.0,0.0,0.0,0.0
16650,HU,2020,Flubendiamide (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16651,HU,2020,Fludioxonil (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16652,HU,2020,Flufenacet (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16653,HU,2020,Flufenoxuron,13,13.0,0.01,0.0,0.0,0.0,0.0
16654,HU,2020,Flumethrin,13,13.0,0.01,0.0,0.0,0.0,0.0
16655,HU,2020,Flumioxazin,13,13.0,0.01,0.0,0.0,0.0,0.0
16656,HU,2020,Fluometuron,13,13.0,0.01,0.0,0.0,0.0,0.0
16657,HU,2020,Fluopicolide,13,13.0,0.01,0.0,0.0,0.0,0.0
16658,HU,2020,Fluopyram (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16659,HU,2020,Fluoxastrobin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16660,HU,2020,Fluquinconazole,13,0.0,0.0,0.0,13.0,0.01,0.0
16661,HU,2020,Flurochloridone (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16662,HU,2020,Flusilazole (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16663,HU,2020,Flutolanil (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
16664,HU,2020,Flutriafol,13,13.0,0.01,0.0,0.0,0.0,0.0
