,customSampleId,pesticideCount,pesticideCode,tag,resVal,resType
247,2141A,2,RF-0842-001-PPP,Permethrin (sum),,LOQ
248,2141A,2,RF-0120-001-PPP,Deltamethrin,,LOQ
249,2141A,2,RF-0112-001-PPP,Cypermethrin (sum),,LOQ
250,2141A,2,RF-0263-001-PPP,Lindane,,LOQ
251,2141A,2,RF-0156-001-PPP,Endrin,,LOQ
252,2141A,2,RF-0690-004-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
253,2141A,2,RF-0406-001-PPP,Tecnazene,,LOQ
254,2141A,2,RF-0690-005-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
255,2141A,2,RF-0311-001-PPP,Nitrofen,,LOQ
256,2141A,2,RF-0237-001-PPP,Hexachlorobenzene,0.002,VAL
257,2141A,2,RF-0653-001-PPP,Endrin ketone,,LOQ
258,2141A,2,RF-0515-001-PPP,Bromocyclen,,LOQ
259,2141A,2,RF-0236-001-PPP,Heptachlor (sum),,LOQ
260,2141A,2,RF-0238-001-PPP,HCH-alpha,,LOQ
261,2141A,2,RF-0108-001-PPP,Cyfluthrin (sum),,LOQ
262,2141A,2,RF-0112-002-PPP,Cypermethrin (sum),,LOQ
263,28BB3,2,RF-0156-001-PPP,Endrin,,LOQ
264,28BB3,2,RF-0236-001-PPP,Heptachlor (sum),,LOQ
265,28BB3,2,RF-0112-002-PPP,Cypermethrin (sum),,LOQ
266,28BB3,2,RF-0797-001-PPP,Mirex,,LOQ
267,28BB3,2,RF-0690-005-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
268,28BB3,2,RF-0311-001-PPP,Nitrofen,,LOQ
269,28BB3,2,RF-0119-001-PPP,DDT (sum),0.004,VAL
270,28BB3,2,RF-0075-005-PPP,Chlordane (sum),,LOQ
271,28BB3,2,RF-0123-001-PPP,Diazinon,,LOQ
272,28BB3,2,RF-0238-001-PPP,HCH-alpha,,LOQ
273,28BB3,2,RF-0515-001-PPP,Bromocyclen,,LOQ
274,28BB3,2,RF-0108-001-PPP,Cyfluthrin (sum),,LOQ
275,28BB3,2,RF-0837-001-PPP,Pentachloroanisole,,LOQ
276,28BB3,2,RF-0120-001-PPP,Deltamethrin,,LOQ
277,28BB3,2,RF-0237-001-PPP,Hexachlorobenzene,0.004,VAL
278,28BB3,2,RF-0112-001-PPP,Cypermethrin (sum),,LOQ
279,28BB3,2,RF-0239-002-PPP,HCH-beta,,LOQ
280,28BB3,2,RF-0842-001-PPP,Permethrin (sum),,LOQ
281,28BB3,2,RF-0263-001-PPP,Lindane,,LOQ
282,28BB3,2,RF-0295-001-PPP,Methoxychlor,,LOQ
283,28BB3,2,RF-0406-001-PPP,Tecnazene,,LOQ
284,28BB3,2,RF-0155-001-PPP,Endosulfan (sum),,LOQ
285,28BB3,2,RF-0653-001-PPP,Endrin ketone,,LOQ
286,28BB3,2,RF-0866-001-PPP,Propetamphos,,LOQ
287,28BB3,2,RF-0690-004-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
288,28BB3,2,RF-0021-001-PPP,Dieldrin (sum),,LOQ
289,28BB3,2,RF-0240-004-PPP,HCH (sum),,LOQ
290,28BB3,2,RF-0736-001-PPP,HCH (sum),,LOQ
291,2F849,1,RF-0021-003-PPP,Dieldrin (sum),,LOQ
292,2F849,1,RF-0021-002-PPP,Dieldrin (sum),,LOQ
293,2F849,1,RF-0021-001-PPP,Dieldrin (sum),,LOQ
294,2F849,1,RF-0239-002-PPP,HCH-beta,0.01456,VAL
295,2F849,1,RF-0238-001-PPP,HCH-alpha,,LOQ
296,2F849,1,RF-0263-001-PPP,Lindane,,LOQ
297,2F849,1,RF-0236-005-PPP,Heptachlor (sum),,LOQ
298,2F849,1,RF-0237-001-PPP,Hexachlorobenzene,,LOQ
299,2F849,1,RF-0236-001-PPP,Heptachlor (sum),,LOQ
300,2F849,1,RF-0236-004-PPP,Heptachlor (sum),,LOQ
301,2F849,1,RF-0156-001-PPP,Endrin,,LOQ
302,2F849,1,RF-0119-007-PPP,DDT (sum),,LOQ
303,2F849,1,RF-0119-006-PPP,DDT (sum),,LOQ
304,2F849,1,RF-0119-004-PPP,DDT (sum),,LOQ
305,2F849,1,RF-0119-003-PPP,DDT (sum),,LOQ
306,2F849,1,RF-0119-002-PPP,DDT (sum),,LOQ
307,2F849,1,RF-0119-001-PPP,DDT (sum),,LOQ
308,2F849,1,RF-0075-004-PPP,Chlordane (sum),,LOQ
309,2F849,1,RF-0075-003-PPP,Chlordane (sum),,LOQ
310,2F849,1,RF-0075-005-PPP,Chlordane (sum),,LOQ
311,3012B,1,RF-0120-001-PPP,Deltamethrin,,LOQ
312,3012B,1,RF-0119-001-PPP,DDT (sum),,LOQ
313,3012B,1,RF-0295-001-PPP,Methoxychlor,,LOQ
314,3012B,1,RF-0311-001-PPP,Nitrofen,,LOQ
315,3012B,1,RF-0842-001-PPP,Permethrin (sum),,LOQ
316,3012B,1,RF-0021-001-PPP,Dieldrin (sum),,LOQ
317,3012B,1,RF-0690-004-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
318,3012B,1,RF-0690-005-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
319,3012B,1,RF-0238-001-PPP,HCH-alpha,,LOQ
320,3012B,1,RF-0515-001-PPP,Bromocyclen,,LOQ
321,3012B,1,RF-0087-001-PPP,Chlorpyrifos,,LOQ
322,3012B,1,RF-0239-002-PPP,HCH-beta,,LOQ
323,3012B,1,RF-0237-001-PPP,Hexachlorobenzene,0.002,VAL
324,3012B,1,RF-0156-001-PPP,Endrin,,LOQ
325,3012B,1,RF-0261-001-PPP,Lambda-Cyhalothrin (sum),,LOQ
326,3012B,1,RF-0155-001-PPP,Endosulfan (sum),,LOQ
327,3012B,1,RF-0653-001-PPP,Endrin ketone,,LOQ
328,3012B,1,RF-0075-005-PPP,Chlordane (sum),,LOQ
329,3012B,1,RF-0112-002-PPP,Cypermethrin (sum),,LOQ
330,3012B,1,RF-0236-001-PPP,Heptachlor (sum),,LOQ
331,3012B,1,RF-0112-001-PPP,Cypermethrin (sum),,LOQ
332,3012B,1,RF-0263-001-PPP,Lindane,,LOQ
333,30FA9,1,RF-0263-001-PPP,Lindane,,LOQ
334,30FA9,1,RF-0237-001-PPP,Hexachlorobenzene,,LOQ
335,30FA9,1,RF-0238-001-PPP,HCH-alpha,,LOQ
336,30FA9,1,RF-0236-005-PPP,Heptachlor (sum),,LOQ
337,30FA9,1,RF-0236-004-PPP,Heptachlor (sum),,LOQ
338,30FA9,1,RF-0236-001-PPP,Heptachlor (sum),,LOQ
