,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year,tag,short_name,long_name,paramcode,limit,mandatory
5458,2E2E7062DB7049C86DA9632895592AC5,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0008,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5461,EF47147246C6660039D825C6B05825F1,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5468,04AD05635A24B1C2A6FD30B97DD6414E,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5470,3761D5C9348C006C670219A295AB2675,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5471,54F5C0F6747C5F0186744F265BE5CCA0,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0007,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5472,30ACBD61D36303AD30DCF3F8A0DCE9B7,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.001,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5480,838A8B2B808EB25F17245B381478F31E,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.001,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5491,748B8428B2B98DBC56D026F70E53C406,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5505,E66327E497CC1B35B0FE00E71AD2D92E,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.00018,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5517,702120192DB06DBF11A28E19B0208D07,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
